Plot,Location,Env,Rep,Block,Genotype,Planting_date,DTF,DTM,PH,LPH
1233,WPR_2022,1,1,7,W627759,2/1/2022,85,116,32.3,12
1234,WPR_2022,1,1,7,PI250158,2/1/2022,77,96,29,6.3
1235,WPR_2022,1,1,7,PI490289,2/1/2022,80,115,25,12.3
1236,WPR_2022,1,1,7,PI280686,2/1/2022,77,111,32.3,8.7
1237,WPR_2022,1,1,8,PI432212,2/1/2022,82,119,26.3,14
1238,WPR_2022,1,1,8,PI471916,2/1/2022,85,116,32,9.3
1239,WPR_2022,1,1,8,ILL486,2/1/2022,77,111,30.3,9.3
1240,WPR_2022,1,1,8,PI431613,2/1/2022,80,114,32.7,16
1241,WPR_2022,1,1,8,PI299354,2/1/2022,85,116,30,16.7
1242,WPR_2022,1,1,8,PI297787,2/1/2022,85,115,33,16
1243,WPR_2022,1,1,8,ILL600,2/1/2022,87,116,33.7,21.7
1244,WPR_2022,1,1,8,PI431618,2/1/2022,77,110,28.7,11.8
1245,WPR_2022,1,1,7,PI289077,2/1/2022,87,113,35.3,10
1246,WPR_2022,1,1,7,PI175754,2/1/2022,87,114,26.7,13.7
1247,WPR_2022,1,1,7,PI297767,2/1/2022,89,115,31.7,17
1248,WPR_2022,1,1,7,ILL482,2/1/2022,91,116,30,10
1249,WPR_2022,1,1,6,PI508090,2/1/2022,82,115,34.3,23
1250,WPR_2022,1,1,6,PI368651,2/1/2022,87,115,34,20.7
1252,WPR_2022,1,1,6,PI472137,2/1/2022,77,101,25.7,6.7
1253,WPR_2022,1,1,5,PI300250,2/1/2022,77,112,25.7,10.3
1254,WPR_2022,1,1,5,PI432188,2/1/2022,77,114,28,12
1255,WPR_2022,1,1,5,PI431631,2/1/2022,80,114,33,12.7
1256,WPR_2022,1,1,5,PI472484,2/1/2022,77,103,26.7,8.3
1257,WPR_2022,1,1,5,W627767,2/1/2022,77,113,27,7.7
1258,WPR_2022,1,1,5,PI431636,2/1/2022,78,113,31.7,13.3
1259,WPR_2022,1,1,5,PI383682,2/1/2022,85,115,29.7,8
1260,WPR_2022,1,1,5,PI431863,2/1/2022,80,114,25.3,13.3
1261,WPR_2022,1,1,6,PI299285,2/1/2022,87,114,27.3,14.3
1262,WPR_2022,1,1,6,PI339292,2/1/2022,85,120,30.7,16.3
1263,WPR_2022,1,1,6,PI431731,2/1/2022,82,115,23.3,7.7
1264,WPR_2022,1,1,6,PI429838,2/1/2022,80,113,31.3,13.2
1265,WPR_2022,1,1,7,PI431643,2/1/2022,78,116,30,15
1266,WPR_2022,1,1,7,PI339283,2/1/2022,82,115,22.3,10.7
1267,WPR_2022,1,1,7,PI472629,2/1/2022,82,115,23.7,10.7
